BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR,TRADE_SESSION_DATE
TQBR,2025-05-02,iАРТГЕН ао,ABIO,1292,11163430.6,82.7,80.28,82.7,80.72,81.12,80.52,137630,81.06,81.06,,6395919.4,6395919.4,,0,3,SUR,-2.57,2025-05-02
TQBR,2025-05-02,АбрауДюрсо,ABRD,535,6275436,187.2,180,187.2,180,182.6,180,34380,182.6,182.6,,6275436,6275436,,0,3,SUR,-3.02,2025-05-02
TQBR,2025-05-02,Система ао,AFKS,22420,1107511869.4,15.198,14.331,15.198,14.46,14.632,14.345,75690800,14.593,14.593,,695229146.7,695229146.7,,0,3,SUR,-5.69,2025-05-02
TQBR,2025-05-02,Аэрофлот,AFLT,41080,1152641084.2,70.68,67.1,70.96,68.13,68.86,67.22,16739230,68.97,68.97,,598656892.6,598656892.6,,0,3,SUR,-5.48,2025-05-02
TQBR,2025-05-02,AGRO-гдр,AGRO,0,0,,,,1085.2,,,0,,,,0,0,,0,3,SUR,,2025-05-02
TQBR,2025-05-02,Акрон,AKRN,241,13228060,15872,15600,15996,15980,15786,15980,838,15786,15786,,13228060,13228060,,0,3,SUR,-0.08,2025-05-02
TQBR,2025-05-02,АЛРОСА ао,ALRS,16449,394569661,50.45,48.14,50.45,48.44,48.85,48.15,8077230,48.9,48.9,,195004066.2,195004066.2,,0,3,SUR,-3.89,2025-05-02
TQBR,2025-05-02,АшинскийМЗ,AMEZ,0,0,,,,68.05,,,0,,67.75,,0,1280515,,0,3,SUR,,2025-05-02
TQBR,2025-05-02,АПРИ,APRI,161,824893.54,12.934,12.934,13.172,13.102,13.092,13.102,63010,13.092,13.092,,824893.54,824893.54,,0,3,SUR,1.3,2025-05-02
TQBR,2025-05-02,Аптеки36и6,APTK,2148,6373849.3,10.342,10.002,10.448,10.208,10.256,10.088,621520,10.27,10.27,,4563073.24,4563073.24,,0,3,SUR,-1.64,2025-05-02
TQBR,2025-05-02,ИНАРКТИКА,AQUA,1617,17291559,652,642,657,647.5,649.5,642,26615,651.5,651.5,,9089866.5,9089866.5,,0,3,SUR,-2.13,2025-05-02
TQBR,2025-05-02,Арсагера,ARSA,11,32581,10.71,10.71,10.93,10.93,10.86,10.93,3000,,10.93,,0,585893,,0,3,SUR,0.64,2025-05-02
TQBR,2025-05-02,АстрЭнСб,ASSB,8,14690,1.83,1.82,1.855,1.82,1.835,1.82,8000,,1.855,,0,505195,,0,3,SUR,-2.93,2025-05-02
TQBR,2025-05-02,Астра ао,ASTR,10150,108996002.9,395.8,392.95,398.15,393.3,394.05,393.45,276616,393.9,393.9,,52173013.1,52173013.1,,0,3,SUR,-1.12,2025-05-02
TQBR,2025-05-02,Авангрд-ао,AVAN,205,955672,715,708,759,709,721,709,1325,721,721,,955672,955672,,0,3,SUR,-0.14,2025-05-02
TQBR,2025-05-02,Башнефт ао,BANE,706,16213897,1993.5,1959.5,1993.5,1969,1973.5,1963,8216,1973,1973,,9440543,9440543,,0,3,SUR,-1.9,2025-05-02
TQBR,2025-05-02,Башнефт ап,BANEP,2893,35762066.5,1179,1152,1179,1158.5,1160,1156.5,30825,1159.5,1159.5,,25130124.5,25130124.5,,0,3,SUR,-1.83,2025-05-02
TQBR,2025-05-02,НоваБев ао,BELU,7192,127684162.5,480.5,468.5,483.5,469.5,472.5,468.5,270136,472.5,472.5,,88019470.5,88019470.5,,0,3,SUR,-2.5,2025-05-02
TQBR,2025-05-02,БашИнСв ап,BISVP,55,183900,9.04,9,9.25,9.05,9.1,9,20200,,9.15,,0,505848,,0,3,SUR,-0.99,2025-05-02
