BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR,TRADE_SESSION_DATE
TQBR,2025-05-06,СОЛЛЕРС,SVAV,3178,45687704.5,696,687,705,700.5,699,697,65374,699,699,,30434904.5,30434904.5,,0,3,SUR,0.65,2025-05-06
TQBR,2025-05-06,Совкомбанк,SVCB,16505,501384506,14.61,14.43,14.985,14.805,14.725,14.72,34032700,14.73,14.73,,393942379.5,393942379.5,,0,3,SUR,0.86,2025-05-06
TQBR,2025-05-06,Светофор,SVET,1874,440268.05,15.8,15.75,16.05,15.85,15.9,15.85,27653,,15.9,,0,522708.7,,0,3,SUR,0.32,2025-05-06
TQBR,2025-05-06,Светофор п,SVETP,296,537783.8,21.9,21.5,22.25,21.85,21.95,21.85,24481,21.95,21.95,,537783.8,537783.8,,0,3,SUR,-0.23,2025-05-06
TQBR,2025-05-06,Т-Техно ао,T,119187,13276650945.4,2948.8,2911,3098.4,3038.8,3005.8,3042,4417015,2996.2,2996.2,,7976790614.6,7976790614.6,,0,3,SUR,3.25,2025-05-06
TQBR,2025-05-06,ТамбЭнСб,TASB,26,54922,1.326,1.326,1.35,1.346,1.34,1.346,41000,,1.346,,0,511458,,0,3,SUR,0.9,2025-05-06
TQBR,2025-05-06,ТамбЭнСб-п,TASBP,6,50080,0.842,0.822,0.842,0.822,0.834,0.822,60000,,0.854,,0,503520,,0,3,SUR,0.98,2025-05-06
TQBR,2025-05-06,Татнфт 3ао,TATN,37724,1573181458.8,683.3,669,695,688.5,686.7,685,2290853,687,687,,1255625502.8,1255625502.8,,0,3,SUR,0.74,2025-05-06
TQBR,2025-05-06,Татнфт 3ап,TATNP,17543,351062756.7,646,641.3,656.7,649.3,648.7,645.4,541166,648.5,648.5,,287449501.5,287449501.5,,0,3,SUR,0.03,2025-05-06
TQBR,2025-05-06,ТГК-1,TGKA,1678,23275534.2,0.00645,0.006314,0.006544,0.00646,0.006436,0.006472,3616100000,0.006438,0.006438,,16579947.2,16579947.2,,0,3,SUR,1.86,2025-05-06
TQBR,2025-05-06,ТГК-2,TGKB,117,2607470,0.006245,0.006225,0.0064,0.0063,0.00633,0.0063,412000000,0.00633,0.00633,,2607470,2607470,,0,3,SUR,1.37,2025-05-06
TQBR,2025-05-06,ТГК-2 ап,TGKBP,206,964527,0.0097,0.00951,0.01,0.00978,0.00979,0.00978,98500000,0.00979,0.00979,,964527,964527,,0,3,SUR,-0.41,2025-05-06
TQBR,2025-05-06,ТГК-14,TGKN,1803,35026034,0.00811,0.00808,0.00829,0.00822,0.00822,0.00822,4260100000,0.00822,0.00822,,35026034,35026034,,0,3,SUR,2.11,2025-05-06
TQBR,2025-05-06,ТНСэнрг ао,TNSE,66,320140,2180,2170,2330,2255,2255,2255,142,,2245,,0,525040,,0,3,SUR,3.44,2025-05-06
TQBR,2025-05-06,РСТомск ао,TORS,5,87380,0.578,0.578,0.584,0.584,0.582,0.584,150000,,0.582,,0,518120,,0,3,SUR,1.04,2025-05-06
TQBR,2025-05-06,РСТомск ап,TORSP,24,145810,0.409,0.403,0.409,0.407,0.405,0.407,360000,,0.408,,0,501230,,0,3,SUR,0.74,2025-05-06
TQBR,2025-05-06,ТМК ао,TRMK,5328,121653501.2,102.9,101.42,106.46,105.2,104.48,105.34,1164420,104.02,104.02,,61472293,61472293,,0,3,SUR,1.8,2025-05-06
