BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR,TRADE_SESSION_DATE
TQBR,2025-05-05,iАРТГЕН ао,ABIO,1685,14181111.8,80.52,79.5,82.1,80.28,80.82,80.8,175460,80.78,80.78,,7079841.2,7079841.2,,0,3,SUR,0.35,2025-05-05
TQBR,2025-05-05,АбрауДюрсо,ABRD,785,7154512,181.2,172.6,181.2,172.6,177.4,172.6,40320,177.4,177.4,,7154512,7154512,,0,3,SUR,-4.11,2025-05-05
TQBR,2025-05-05,Система ао,AFKS,38072,1573900956.4,14.345,14.021,14.624,14.121,14.303,14.317,110033800,14.251,14.251,,857300252.6,857300252.6,,0,3,SUR,-0.2,2025-05-05
TQBR,2025-05-05,Аэрофлот,AFLT,44828,1618373435.8,67.23,66.7,68.94,67.16,67.73,68.04,23893760,67.49,67.49,,807989826.9,807989826.9,,0,3,SUR,1.22,2025-05-05
TQBR,2025-05-05,AGRO-гдр,AGRO,0,0,,,,1085.2,,,0,,,,0,0,,0,3,SUR,,2025-05-05
TQBR,2025-05-05,Акрон,AKRN,83,2904738,15770,15756,15976,15868,15872,15892,183,15872,15872,,2904738,2904738,,0,3,SUR,-0.55,2025-05-05
TQBR,2025-05-05,АЛРОСА ао,ALRS,35055,702847517.5,47.78,46.65,48.61,46.98,47.62,47.49,14760390,47.49,47.49,,473602874.5,473602874.5,,0,3,SUR,-1.37,2025-05-05
TQBR,2025-05-05,АшинскийМЗ,AMEZ,0,0,,,,68.05,,,0,,67.75,,0,1280515,,0,3,SUR,,2025-05-05
TQBR,2025-05-05,АПРИ,APRI,42,147459.22,13.096,13.066,13.114,13.07,13.096,13.07,11260,,13.13,,0,501277.3,,0,3,SUR,-0.24,2025-05-05
TQBR,2025-05-05,Аптеки36и6,APTK,4035,20142233.72,10.2,9.85,10.288,9.886,9.994,9.938,2015260,9.956,9.956,,13239149.82,13239149.82,,0,3,SUR,-1.49,2025-05-05
TQBR,2025-05-05,ИНАРКТИКА,AQUA,3998,43512186,643,623.5,649,627,636.5,629,68388,633.5,633.5,,25349206.5,25349206.5,,0,3,SUR,-2.02,2025-05-05
TQBR,2025-05-05,Арсагера,ARSA,15,77953,10.82,10.82,10.91,10.86,10.83,10.86,7200,,10.92,,0,663846,,0,3,SUR,-0.64,2025-05-05
TQBR,2025-05-05,АстрЭнСб,ASSB,65,414865,1.85,1.8,1.88,1.8,1.83,1.8,227000,,1.835,,0,502170,,0,3,SUR,-1.1,2025-05-05
TQBR,2025-05-05,Астра ао,ASTR,19521,157794395.45,393.05,385,395.95,385,389.75,386.8,404879,389,389,,107687546.1,107687546.1,,0,3,SUR,-1.69,2025-05-05
TQBR,2025-05-05,Авангрд-ао,AVAN,320,2505951,710,693,720,700,703,700,3564,703,703,,2505951,2505951,,0,3,SUR,-1.27,2025-05-05
