BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR,TRADE_SESSION_DATE
TQBR,2025-04-29,iАРТГЕН ао,ABIO,4549,72362781.4,88.1,83.2,90.28,85.28,87.12,84.64,830700,87.4,87.4,,52880119.8,52880119.8,,0,3,SUR,-3.93,2025-04-29
TQBR,2025-04-29,АбрауДюрсо,ABRD,517,5662006,190.2,187,191.6,187.4,189,187.4,29950,189,189,,5662006,5662006,,0,3,SUR,-2.4,2025-04-29
TQBR,2025-04-29,Система ао,AFKS,33726,1671236830.2,15.939,15.262,16.038,15.48,15.616,15.42,107022200,15.638,15.638,,1199069268.9,1199069268.9,,0,3,SUR,-3.72,2025-04-29
TQBR,2025-04-29,Аэрофлот,AFLT,41877,1822920057.4,73.5,69.75,73.76,71.01,71.61,70.79,25456680,71.83,71.83,,1144408808.5,1144408808.5,,0,3,SUR,-3.69,2025-04-29
TQBR,2025-04-29,AGRO-гдр,AGRO,0,0,,,,1085.2,,,0,,,,0,0,,0,3,SUR,,2025-04-29
TQBR,2025-04-29,Акрон,AKRN,1054,61386152,16108,15968,16890,16034,16288,16034,3769,16288,16288,,61386152,61386152,,0,3,SUR,-0.79,2025-04-29
TQBR,2025-04-29,АЛРОСА ао,ALRS,56234,1123380799.7,51.59,49.11,51.59,49.81,50.06,49.19,22439710,50.2,50.2,,824653791.2,824653791.2,,0,3,SUR,-4.28,2025-04-29
TQBR,2025-04-29,АшинскийМЗ,AMEZ,0,0,,,,68.05,,,0,,67.75,,0,1280515,,0,3,SUR,,2025-04-29
TQBR,2025-04-29,АПРИ,APRI,139,760428,12.81,12.796,13.024,12.964,12.926,12.964,58830,12.926,12.926,,760428,760428,,0,3,SUR,1.22,2025-04-29
TQBR,2025-04-29,Аптеки36и6,APTK,9064,90404824.38,10.61,10.38,11.25,10.7,10.842,10.392,8339050,10.812,10.812,,33949029.2,33949029.2,,0,3,SUR,-1.63,2025-04-29
TQBR,2025-04-29,ИНАРКТИКА,AQUA,2868,35980952.5,662,647,664,652.5,655.5,651.5,54883,657,657,,24130181,24130181,,0,3,SUR,-1.59,2025-04-29
TQBR,2025-04-29,Арсагера,ARSA,80,905746,10.91,10.9,11.19,10.9,11.05,10.9,82000,11.05,11.05,,905746,905746,,0,3,SUR,0,2025-04-29
TQBR,2025-04-29,АстрЭнСб,ASSB,42,284110,1.9,1.84,1.9,1.885,1.855,1.89,153000,,1.885,,0,527105,,0,3,SUR,-0.53,2025-04-29
TQBR,2025-04-29,Астра ао,ASTR,15479,181087137.95,409.9,400,410.45,403.8,404.95,401.9,447161,405.6,405.6,,112409314.35,112409314.35,,0,3,SUR,-2.08,2025-04-29
TQBR,2025-04-29,Авангрд-ао,AVAN,541,6176547,738,725,775,733,739,733,8360,739,739,,6176547,6176547,,0,3,SUR,-0.41,2025-04-29
TQBR,2025-04-29,Башнефт ао,BANE,2196,73190088.5,2055,2000,2055,2007,2028.5,2003,36085,2026.5,2026.5,,21954608.5,21954608.5,,0,3,SUR,-2.2,2025-04-29
TQBR,2025-04-29,Башнефт ап,BANEP,4523,108490498,1221,1169,1221,1186,1194,1190,90849,1197,1197,,61474806.5,61474806.5,,0,3,SUR,-2.06,2025-04-29
TQBR,2025-04-29,НоваБев ао,BELU,37170,205177149.5,498,479,500,486.5,490,484.5,419961,489.5,489.5,,149992402.5,149992402.5,,0,3,SUR,-2.91,2025-04-29
TQBR,2025-04-29,БашИнСв ап,BISVP,60,216224,9.43,9.18,9.49,9.19,9.28,9.19,23300,,9.32,,0,506308,,0,3,SUR,-1.82,2025-04-29
TQBR,2025-04-29,Белон ао,BLNG,781,12102499,15.41,15.12,15.64,15.14,15.4,15.14,786100,15.4,15.4,,12102499,12102499,,0,3,SUR,-1.75,2025-04-29
TQBR,2025-04-29,БурЗолото,BRZL,295,2602637,1842,1792,1845,1803,1810,1803,1438,1810,1810,,2602637,2602637,,0,3,SUR,-2.33,2025-04-29
TQBR,2025-04-29,БСП ао,BSPB,21170,712531714.2,411.89,401.22,414.97,409.5,409.45,408.54,1740210,410.58,410.58,,335171841.8,335171841.8,,0,3,SUR,-0.71,2025-04-29
TQBR,2025-04-29,БСП ап,BSPBP,680,15171940,69.05,66.35,69.95,66.5,67.35,66.5,225300,67.35,67.35,,15171940,15171940,,0,3,SUR,-3.76,2025-04-29
TQBR,2025-04-29,СТГ,CARM,546,1847202.25,1.511,1.494,1.517,1.5055,1.505,1.497,1227400,1.5095,1.5095,,635319.3,635319.3,,0,3,SUR,-0.83,2025-04-29
TQBR,2025-04-29,МКБ ао,CBOM,5707,68239118.1,8.159,7.649,8.176,7.86,7.924,7.792,8612000,7.958,7.958,,52636717,52636717,,0,3,SUR,-4.2,2025-04-29
TQBR,2025-04-29,РН-ЗапСиб,CHGZ,46,297230,93,90.4,93,91,92,91,3230,,92.8,,0,506562,,0,3,SUR,-2.57,2025-04-29
TQBR,2025-04-29,ЧКПЗ ао,CHKZ,12,235500,18300,17700,18350,17750,18100,17700,13,,18050,,0,505150,,0,3,SUR,-3.28,2025-04-29
TQBR,2025-04-29,СевСт-ао,CHMF,50507,1670295118.4,1075,1025.4,1082.2,1040,1049.6,1033.6,1591426,1053.2,1053.2,,1167307491.2,1167307491.2,,0,3,SUR,-4.4,2025-04-29
TQBR,2025-04-29,ЧМК ао,CHMK,124,1874975,5385,5325,5470,5330,5390,5330,348,5390,5390,,1874975,1874975,,0,3,SUR,-0.37,2025-04-29
TQBR,2025-04-29,ЦИАН,CNRU,6455,132643384.8,551,539.2,589.4,549.2,561.4,549.2,236259,561.4,561.4,,132643384.8,132643384.8,,0,3,SUR,-0.33,2025-04-29
