BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR,TRADE_SESSION_DATE
TQBR,2025-04-28,iАРТГЕН ао,ABIO,10793,194646629,85.36,84.64,92.5,87.7,89.52,88.1,2174500,90,90,,161730729.8,161730729.8,,0,3,SUR,3.6,2025-04-28
TQBR,2025-04-28,АбрауДюрсо,ABRD,2119,20621204,186.4,186.2,193,192,191,192,107980,191,191,,20621204,20621204,,0,3,SUR,3.56,2025-04-28
TQBR,2025-04-28,Система ао,AFKS,47737,2971048211.3,16.222,15.81,16.344,16.167,16.08,16.015,184772100,16.081,16.081,,1826953605.9,1826953605.9,,0,3,SUR,-0.9,2025-04-28
TQBR,2025-04-28,Аэрофлот,AFLT,66834,3475300483.3,74.78,72.52,75.48,74.36,74.06,73.5,46928360,73.79,73.79,,1751290108.8,1751290108.8,,0,3,SUR,-1.4,2025-04-28
TQBR,2025-04-28,AGRO-гдр,AGRO,0,0,,,,1085.2,,,0,,,,0,0,,0,3,SUR,,2025-04-28
TQBR,2025-04-28,Акрон,AKRN,208,12692304,16220,16080,16250,16162,16148,16162,786,16148,16148,,12692304,12692304,,0,3,SUR,-0.38,2025-04-28
TQBR,2025-04-28,АЛРОСА ао,ALRS,59496,1083246149.6,51.71,50.66,52.49,52,51.63,51.39,20979410,51.61,51.61,,723178526.7,723178526.7,,0,3,SUR,-0.21,2025-04-28
TQBR,2025-04-28,АшинскийМЗ,AMEZ,0,0,,,,68.05,,,0,,67.75,,0,1280515,,0,3,SUR,,2025-04-28
TQBR,2025-04-28,АПРИ,APRI,253,1615361.62,13.012,12.73,13.012,12.852,12.842,12.808,125780,12.842,12.842,,1615361.62,1615361.62,,0,3,SUR,-1.57,2025-04-28
TQBR,2025-04-28,Аптеки36и6,APTK,4999,39578116.44,10.538,10.472,10.808,10.67,10.65,10.564,3715930,10.674,10.674,,29969807.82,29969807.82,,0,3,SUR,0.78,2025-04-28
TQBR,2025-04-28,ИНАРКТИКА,AQUA,4220,58358869,665.5,658.5,669,662,663.5,662,87943,664,664,,28542873.5,28542873.5,,0,3,SUR,-0.23,2025-04-28
TQBR,2025-04-28,Арсагера,ARSA,55,252754,11.15,10.9,11.15,10.9,10.99,10.9,23000,,11.07,,0,505780,,0,3,SUR,-1.27,2025-04-28
TQBR,2025-04-28,АстрЭнСб,ASSB,81,761735,1.92,1.855,1.935,1.9,1.91,1.9,399000,1.91,1.91,,761735,761735,,0,3,SUR,2.98,2025-04-28
TQBR,2025-04-28,Астра ао,ASTR,15722,193611226.8,413.2,409.15,417.5,411.8,413.35,410.45,468423,412.5,412.5,,91089792.95,91089792.95,,0,3,SUR,-0.65,2025-04-28
TQBR,2025-04-28,Авангрд-ао,AVAN,673,5176241,749,727,752,736,734,736,7054,734,734,,5176241,5176241,,0,3,SUR,-2.52,2025-04-28
TQBR,2025-04-28,Башнефт ао,BANE,1827,41900675,2059.5,2027,2083.5,2066,2058,2048,20358,2057.5,2057.5,,22876220,22876220,,0,3,SUR,-0.32,2025-04-28
TQBR,2025-04-28,Башнефт ап,BANEP,6360,175385583,1231,1211,1241.5,1221.5,1225,1215,143196,1223.5,1223.5,,106989697.5,106989697.5,,0,3,SUR,-1.22,2025-04-28
TQBR,2025-04-28,НоваБев ао,BELU,12247,224702228,505,492.5,509,498,501,499,448904,499.5,499.5,,151230939,151230939,,0,3,SUR,-0.99,2025-04-28
TQBR,2025-04-28,БашИнСв ап,BISVP,87,204639,9.4,9.16,9.66,9.5,9.39,9.36,21800,,9.32,,0,509922,,0,3,SUR,0.21,2025-04-28
TQBR,2025-04-28,Белон ао,BLNG,602,8415432,15.77,15.25,15.79,15.41,15.5,15.41,543100,15.5,15.5,,8415432,8415432,,0,3,SUR,-0.84,2025-04-28
TQBR,2025-04-28,БурЗолото,BRZL,175,1195538,1876,1818,1876,1846,1845,1846,648,1845,1845,,1195538,1195538,,0,3,SUR,-0.81,2025-04-28
TQBR,2025-04-28,БСП ао,BSPB,46585,1159621818.6,404.18,404.18,416.97,410,411.67,411.48,2816820,412.62,412.62,,737031783,737031783,,0,3,SUR,1.92,2025-04-28
TQBR,2025-04-28,БСП ап,BSPBP,876,33580705,71.95,67.75,71.95,69.1,69.65,69.1,482200,69.65,69.65,,33580705,33580705,,0,3,SUR,-3.09,2025-04-28
TQBR,2025-04-28,СТГ,CARM,1160,3086137.1,1.521,1.5005,1.5335,1.508,1.517,1.5095,2034700,1.5165,1.5165,,1806630.25,1806630.25,,0,3,SUR,-0.46,2025-04-28
TQBR,2025-04-28,МКБ ао,CBOM,8262,94853442,8.158,7.921,8.272,8.217,8.107,8.134,11700100,8.098,8.098,,74809532.3,74809532.3,,0,3,SUR,0.11,2025-04-28
TQBR,2025-04-28,РН-ЗапСиб,CHGZ,77,495000,94.6,92.4,94.6,93.4,93.4,93.4,5300,,93.4,,0,504460,,0,3,SUR,-1.27,2025-04-28
TQBR,2025-04-28,ЧКПЗ ао,CHKZ,1,18300,18300,18300,18300,18300,18300,18300,1,,18000,,0,503400,,0,3,SUR,1.67,2025-04-28
TQBR,2025-04-28,СевСт-ао,CHMF,58230,2528909305,1120.2,1070,1121,1082.8,1089.8,1081.2,2320399,1088.6,1088.6,,1860538853.2,1860538853.2,,0,3,SUR,-2.28,2025-04-28
TQBR,2025-04-28,ЧМК ао,CHMK,457,6809000,5310,5215,5660,5350,5445,5350,1250,5445,5445,,6809000,6809000,,0,3,SUR,0.94,2025-04-28
TQBR,2025-04-28,ЦИАН,CNRU,4124,64042490,532.8,529.2,558,551,541.8,551,118182,541.8,541.8,,64042490,64042490,,0,3,SUR,3.42,2025-04-28
TQBR,2025-04-28,Телеграф,CNTL,165,1585980,11,10.82,11.14,10.88,10.96,10.88,144700,10.96,10.96,,1585980,1585980,,0,3,SUR,0.74,2025-04-28
TQBR,2025-04-28,Телеграф-п,CNTLP,748,5679964,7.54,7.3,7.64,7.42,7.44,7.42,764000,7.44,7.44,,5679964,5679964,,0,3,SUR,-0.8,2025-04-28
TQBR,2025-04-28,iАренадата,DATA,8569,39879831.14,130.5,129.48,131.98,130.04,130.54,129.84,305512,130.16,130.16,,17934348.82,17934348.82,,0,3,SUR,-0.12,2025-04-28
TQBR,2025-04-28,iКаршеринг,DELI,5042,26854571,171.4,170.2,173.8,171.6,171.9,171.9,156243,171.35,171.35,,9556876,9556876,,0,3,SUR,0.38,2025-04-28
TQBR,2025-04-28,iДиасофт,DIAS,2775,35724593.5,3390.5,3301.5,3419.5,3325.5,3354,3310.5,10652,3347,3347,,23686803.5,23686803.5,,0,3,SUR,-2.37,2025-04-28
TQBR,2025-04-28,ЗаводДИОД,DIOD,149,1224795,11.44,11.05,11.44,11.08,11.18,11.08,109600,11.18,11.18,,1224795,1224795,,0,3,SUR,-2.72,2025-04-28
TQBR,2025-04-28,ДЭК ао,DVEC,185,1750291,2.235,2.182,2.235,2.197,2.202,2.197,795000,2.202,2.202,,1750291,1750291,,0,3,SUR,0.32,2025-04-28
TQBR,2025-04-28,ДонскЗР,DZRD,24,127465,3955,3940,4005,3940,3985,3940,32,,3895,,0,506125,,0,3,SUR,0.38,2025-04-28
TQBR,2025-04-28,ДонскЗР п,DZRDP,20,154340,2700,2690,2720,2720,2710,2690,57,,2700,,0,501920,,0,3,SUR,-1.1,2025-04-28
TQBR,2025-04-28,ЕвроЭлтех,EELT,262,932484.6,11.78,11.68,11.84,11.7,11.76,11.7,79250,11.76,11.76,,932484.6,932484.6,,0,3,SUR,-0.85,2025-04-28
TQBR,2025-04-28,ЭЛ5Энер ао,ELFV,3050,32417133.8,0.521,0.512,0.5238,0.5168,0.517,0.5164,62705000,0.518,0.518,,14285862.6,14285862.6,,0,3,SUR,-0.69,2025-04-28
TQBR,2025-04-28,Элемент,ELMT,2721,15846184.8,0.1357,0.1308,0.138,0.13445,0.13515,0.1345,117236000,0.1349,0.1349,,7912150.1,7912150.1,,0,3,SUR,-0.44,2025-04-28
TQBR,2025-04-28,ЭН+ГРУП ао,ENPG,32749,543386420.7,441.05,441.05,454.75,445.95,448.4,443.45,1211806,447.5,447.5,,253871289.1,253871289.1,,0,3,SUR,0.97,2025-04-28
TQBR,2025-04-28,ETLN-гдр,ETLN,855,6394070.98,63.98,62.12,64.88,63,63.24,63,101120,63.24,63.24,,6394070.98,6394070.98,,0,3,SUR,-1.53,2025-04-28
TQBR,2025-04-28,ЕвроТранс,EUTR,19163,471231771.15,126.55,126.2,129.7,127.45,127.7,126.75,3690234,127.85,127.85,,237863473.35,237863473.35,,0,3,SUR,0.32,2025-04-28
TQBR,2025-04-28,Россети,FEES,32066,349195854,0.0715,0.06998,0.07306,0.07248,0.07182,0.0728,4862740000,0.07182,0.07182,,230071172.4,230071172.4,,0,3,SUR,2.33,2025-04-28
TQBR,2025-04-28,ДВМП ао,FESH,17861,398624407.8,65.04,62.91,66.29,64.6,64.48,63.9,6181950,63.96,63.96,,223822772.4,223822772.4,,0,3,SUR,-1.72,2025-04-28
TQBR,2025-04-28,FIXP-гдр,FIXP,2986,43658007.2,162.2,155.5,164.2,160.6,159.9,159.9,272960,160,160,,36782719.2,36782719.2,,0,3,SUR,-1.42,2025-04-28
TQBR,2025-04-28,Совкомфлот,FLOT,41811,1149864547.3,93.25,90.88,94.2,91.39,92.38,91.29,12446600,92.16,92.16,,675236304,675236304,,0,3,SUR,-1.7,2025-04-28
TQBR,2025-04-28,ГАЗ ао,GAZA,24,183300,674,661,692,692,679,692,270,,682,,0,524780,,0,3,SUR,-0.29,2025-04-28
TQBR,2025-04-28,ГАЗ ап,GAZAP,10,70435,440.5,438.5,442,439.5,440,438.5,160,,440,,0,505905,,0,3,SUR,-0.57,2025-04-28
TQBR,2025-04-28,ГАЗКОН-ао,GAZC,0,0,,,,659,,,0,,,,0,0,,0,3,SUR,,2025-04-28
TQBR,2025-04-28,ГАЗПРОМ ао,GAZP,357175,42374946017,152,149.05,157.45,154.91,153.22,153.27,276547850,153.47,153.47,,22917919693.1,22917919693.1,,0,3,SUR,2.02,2025-04-28
TQBR,2025-04-28,ГАЗ-сервис,GAZS,0,0,,,,839,,,0,,,,0,0,,0,3,SUR,,2025-04-28
TQBR,2025-04-28,ГАЗ-Тек ао,GAZT,0,0,,,,1739,,,0,,,,0,0,,0,3,SUR,,2025-04-28
TQBR,2025-04-28,ЧеркизГ-ао,GCHE,576,9866044,3869,3861,3956,3925,3895,3925,2533,3895,3895,,9866044,9866044,,0,3,SUR,1.9,2025-04-28
TQBR,2025-04-28,iГЕНЕТИКО,GECO,2925,20980498,29.05,28.92,29.85,29.09,29.36,29.09,714610,29.36,29.36,,20980498,20980498,,0,3,SUR,1.15,2025-04-28
TQBR,2025-04-28,iММЦБ ао,GEMA,230,3707336,125.1,125.1,129.1,125.7,127.4,125.7,29110,127.4,127.4,,3707336,3707336,,0,3,SUR,0.56,2025-04-28
