BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR,TRADE_SESSION_DATE
TQBR,2025-04-22,iАРТГЕН ао,ABIO,3057,43917246.2,83.6,83.46,86.4,84.7,84.92,83.6,517100,85.3,85.3,,22654800.6,22654800.6,,0,3,SUR,-0.12,2025-04-22
TQBR,2025-04-22,АбрауДюрсо,ABRD,390,5929770,186,185.6,188.4,186.6,186.8,186.8,31750,186.8,186.8,,5929770,5929770,,0,3,SUR,0.76,2025-04-22
TQBR,2025-04-22,Система ао,AFKS,59478,3612331525.8,15.32,15.26,16.554,15.749,15.817,16.176,228378900,15.57,15.57,,1783515401.6,1783515401.6,,0,3,SUR,6.02,2025-04-22
TQBR,2025-04-22,Аэрофлот,AFLT,43983,2405409450.8,72.5,71.85,75,72.7,73.22,73.49,32850470,72.47,72.47,,938566009.5,938566009.5,,0,3,SUR,1.44,2025-04-22
TQBR,2025-04-22,AGRO-гдр,AGRO,0,0,,,,1085.2,,,0,,,,0,0,,0,3,SUR,,2025-04-22
TQBR,2025-04-22,Акрон,AKRN,231,16237268,16200,16088,16270,16264,16188,16264,1003,16188,16188,,16237268,16237268,,0,3,SUR,-0.04,2025-04-22
TQBR,2025-04-22,АЛРОСА ао,ALRS,24740,911202736.5,51.33,50.61,52.49,51.43,51.59,52.07,17663180,51.19,51.19,,422807232.1,422807232.1,,0,3,SUR,1.98,2025-04-22
TQBR,2025-04-22,АшинскийМЗ,AMEZ,0,0,,,,68.05,,,0,,67.75,,0,1280515,,0,3,SUR,,2025-04-22
TQBR,2025-04-22,АПРИ,APRI,41,175636.42,13.17,13.116,13.17,13.122,13.136,13.122,13370,,13.17,,0,500857.88,,0,3,SUR,-0.36,2025-04-22
TQBR,2025-04-22,Аптеки36и6,APTK,1331,8061178.38,10.38,10.38,10.57,10.464,10.468,10.464,770020,10.468,10.468,,8061178.38,8061178.38,,0,3,SUR,0.93,2025-04-22
TQBR,2025-04-22,ИНАРКТИКА,AQUA,2536,37536656,662.5,660,668,663,663.5,663,56578,662.5,662.5,,15569090,15569090,,0,3,SUR,0.08,2025-04-22
TQBR,2025-04-22,Арсагера,ARSA,15,47107,11.28,11.19,11.28,11.23,11.22,11.23,4200,,11.26,,0,532490,,0,3,SUR,0,2025-04-22
TQBR,2025-04-22,АстрЭнСб,ASSB,42,317110,1.86,1.85,1.945,1.86,1.865,1.86,170000,,1.875,,0,500425,,0,3,SUR,-0.27,2025-04-22
TQBR,2025-04-22,Астра ао,ASTR,80823,2100680073.05,401.1,400.5,424.45,418.65,418.45,418.95,5020245,419.25,419.25,,1509149231.2,1509149231.2,,0,3,SUR,4.46,2025-04-22
TQBR,2025-04-22,Авангрд-ао,AVAN,167,472729,778,768,778,774,772,774,612,,773,,0,517712,,0,3,SUR,0.13,2025-04-22
TQBR,2025-04-22,Башнефт ао,BANE,3131,92166233.5,1999,1992,2041,2025,2018,2031,45667,2018,2018,,51648215.5,51648215.5,,0,3,SUR,1.86,2025-04-22
