BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR,TRADE_SESSION_DATE
TQBR,2025-04-15,ЛСР ао,LSRG,11478,178820705.8,804.6,785.4,812.6,794.4,797.4,801.4,224274,796.2,796.2,,146623246,146623246,,0,3,SUR,-0.2,2025-04-15
TQBR,2025-04-15,Левенгук,LVHK,65,573620,30.4,29.4,30.45,29.9,29.7,29.9,19300,29.7,29.7,,573620,573620,,0,3,SUR,-0.33,2025-04-15
TQBR,2025-04-15,МагадЭн ао,MAGE,64,181910,3.01,2.99,3.05,3.02,3.01,3.02,60400,,3,,0,501934,,0,3,SUR,0,2025-04-15
TQBR,2025-04-15,МагадЭн ап,MAGEP,104,305556,2.24,2.16,2.25,2.19,2.21,2.18,138200,,2.23,,0,507621,,0,3,SUR,-2.24,2025-04-15
TQBR,2025-04-15,ММК,MAGN,27303,476752938.55,32.245,32.03,32.72,32.375,32.365,32.6,14729720,32.37,32.37,,371079705.8,371079705.8,,0,3,SUR,1.05,2025-04-15
TQBR,2025-04-15,МТС Банк,MBNK,1235,15378328,1383,1372,1399,1383,1386.5,1384,11092,1387.5,1387.5,,13130301.5,13130301.5,,0,3,SUR,0.54,2025-04-15
TQBR,2025-04-15,MDMG-ао,MDMG,8031,47785752.5,998.4,994,1007,998,999.8,1002.5,47794,999.4,999.4,,38435644.4,38435644.4,,0,3,SUR,0.44,2025-04-15
TQBR,2025-04-15,Мегион-ао,MFGS,21,163590,356,350,361,361,356,361,460,,359,,0,503160,,0,3,SUR,3.44,2025-04-15
TQBR,2025-04-15,Мегион-ап,MFGSP,38,162385,241,239,248,241,242.5,241,670,,239.5,,0,500290,,0,3,SUR,0.42,2025-04-15
TQBR,2025-04-15,МГКЛ,MGKL,382,1570989.7,2.5075,2.4975,2.5495,2.506,2.5155,2.5085,624500,2.5155,2.5155,,1351569.35,1351569.35,,0,3,SUR,-0.06,2025-04-15
TQBR,2025-04-15,Магнит ао,MGNT,20210,1432681996.5,4461.5,4438,4518,4456.5,4477.5,4481.5,319957,4479,4479,,1208706712.5,1208706712.5,,0,3,SUR,0.19,2025-04-15
TQBR,2025-04-15,СМЗ-ао,MGNZ,0,0,,,,7440,,,0,,,,0,0,,0,3,SUR,,2025-04-15
TQBR,2025-04-15,МГТС-5ао,MGTS,41,186410,1195,1150,1195,1165,1165,1160,160,,1180,,0,500140,,0,3,SUR,-2.93,2025-04-15
TQBR,2025-04-15,МГТС-4ап,MGTSP,138,1353056,846,840,854,840,846,840,1600,846,846,,1353056,1353056,,0,3,SUR,0,2025-04-15
TQBR,2025-04-15,ТНСэнМарЭл,MISB,13,72240,48.9,47.9,48.9,48.5,48.2,48.5,1500,,48.4,,0,507820,,0,3,SUR,-0.82,2025-04-15
TQBR,2025-04-15,ТНСэМаЭл-п,MISBP,17,134340,44.7,44.5,45.1,45,44.8,45.1,3000,,45,,0,526020,,0,3,SUR,-0.22,2025-04-15
TQBR,2025-04-15,МосБиржа,MOEX,27223,1063976713.3,193.18,190.31,194,190.65,191.74,191.81,5548830,191.65,191.65,,762605476.6,762605476.6,,0,3,SUR,-0.71,2025-04-15
TQBR,2025-04-15,РоссЦентр,MRKC,803,6427970.8,0.553,0.548,0.5568,0.5514,0.5524,0.5524,11637000,0.5524,0.5524,,6427970.8,6427970.8,,0,3,SUR,-0.11,2025-04-15
TQBR,2025-04-15,Россети СК,MRKK,73,514836.8,17.08,17.04,17.58,17.04,17.16,17.04,29990,17.16,17.16,,514836.8,514836.8,,0,3,SUR,0.35,2025-04-15
TQBR,2025-04-15,РСетиЦП ао,MRKP,485,12354727,0.3742,0.3705,0.3781,0.3718,0.3726,0.3718,33160000,0.3726,0.3726,,12354727,12354727,,0,3,SUR,-0.72,2025-04-15
TQBR,2025-04-15,РсетСиб ао,MRKS,328,1656044.5,0.5155,0.4995,0.5155,0.501,0.5045,0.501,3281000,0.5045,0.5045,,1656044.5,1656044.5,,0,3,SUR,-1.86,2025-04-15
TQBR,2025-04-15,Россети Ур,MRKU,207,2878136,0.37,0.3652,0.3738,0.3696,0.3694,0.3696,7790000,0.3694,0.3694,,2878136,2878136,,0,3,SUR,-0.11,2025-04-15
TQBR,2025-04-15,РсетВол ао,MRKV,394,2478732.5,0.06785,0.0665,0.06805,0.067,0.067,0.067,36990000,0.067,0.067,,2478732.5,2478732.5,,0,3,SUR,-0.81,2025-04-15
TQBR,2025-04-15,РоссЮг ао,MRKY,552,13175579,0.0756,0.0747,0.07685,0.0753,0.07615,0.0753,173070000,0.07615,0.07615,,13175579,13175579,,0,3,SUR,-0.26,2025-04-15
TQBR,2025-04-15,РСетиСЗ ао,MRKZ,211,1732781.5,0.06115,0.0603,0.06195,0.06075,0.06095,0.06075,28430000,0.06095,0.06095,,1732781.5,1732781.5,,0,3,SUR,-0.98,2025-04-15
TQBR,2025-04-15,МордЭнСб,MRSB,19,201360,0.716,0.712,0.728,0.712,0.72,0.712,280000,,0.72,,0,503840,,0,3,SUR,-0.56,2025-04-15
TQBR,2025-04-15,+МосЭнерго,MSNG,4903,35508929.5,2.196,2.1245,2.213,2.152,2.1615,2.18,16428000,2.158,2.158,,29364538,29364538,,0,3,SUR,-0.73,2025-04-15
TQBR,2025-04-15,РСетиМР ао,MSRS,310,2722236.5,1.126,1.1215,1.1335,1.1265,1.1265,1.128,2417000,1.1265,1.1265,,2722236.5,2722236.5,,0,3,SUR,0.71,2025-04-15
TQBR,2025-04-15,Мостотрест,MSTT,775,13286400,134.95,133.05,139.7,136.25,136.35,136.25,97430,136.35,136.35,,13286400,13286400,,0,3,SUR,1.6,2025-04-15
TQBR,2025-04-15,Мечел ао,MTLR,72534,2480728665.38,94.6,91.5,94.98,92.11,93.12,93.34,26639883,92.97,92.97,,1710898636.52,1710898636.52,,0,3,SUR,-1.32,2025-04-15
TQBR,2025-04-15,Мечел ап,MTLRP,13189,295790766.5,96.2,92.85,96.6,93.75,94.7,94.8,3123530,94.5,94.5,,214660930.5,214660930.5,,0,3,SUR,-1.46,2025-04-15
TQBR,2025-04-15,МТС-ао,MTSS,20269,842934649,215.9,210.65,217.2,213.7,213.5,215.5,3946830,213.3,213.3,,713440026,713440026,,0,3,SUR,0,2025-04-15
TQBR,2025-04-15,М.видео,MVID,2961,33010094.15,110.7,108.65,111.35,109.5,110,109.85,300029,110.1,110.1,,23737925.85,23737925.85,,0,3,SUR,-0.45,2025-04-15
TQBR,2025-04-15,iНПОНаука,NAUK,426,6892440,496.5,469,500,477.5,475.5,477.5,14490,475.5,475.5,,6892440,6892440,,0,3,SUR,-2.55,2025-04-15
TQBR,2025-04-15,НЕФАЗ,NFAZ,71,607035,363.5,352,363.5,355,357,355,1700,357,357,,607035,607035,,0,3,SUR,-1.8,2025-04-15
TQBR,2025-04-15,НКХП ао,NKHP,5823,167431100,868.5,832,930,839,879,839,190450,879,879,,167431100,167431100,,0,3,SUR,-2.21,2025-04-15
TQBR,2025-04-15,НКНХ ао,NKNC,272,2264235.5,91,89.6,91.4,90.1,90.5,90.1,25020,90.5,90.5,,2264235.5,2264235.5,,0,3,SUR,-1.31,2025-04-15
TQBR,2025-04-15,НКНХ ап,NKNCP,648,5550567,71.28,69.32,71.28,69.8,70.18,69.8,79080,70.18,70.18,,5550567,5550567,,0,3,SUR,-2.08,2025-04-15
TQBR,2025-04-15,Нижкамшина,NKSH,59,494300,48.9,47.1,48.9,47.25,48,47.65,10300,,48,,0,503900,,0,3,SUR,-0.73,2025-04-15
TQBR,2025-04-15,НЛМК ао,NLMK,22152,710098281.8,131.54,129.28,132.5,130,130.76,130.56,5430520,130.62,130.62,,547510776.6,547510776.6,,0,3,SUR,-0.59,2025-04-15
TQBR,2025-04-15,НМТП ао,NMTP,3311,94764327.5,9.42,9.375,9.545,9.43,9.455,9.47,10022800,9.445,9.445,,69149627,69149627,,0,3,SUR,0.74,2025-04-15
TQBR,2025-04-15,ТНСэнНН ао,NNSB,34,373920,3560,3560,3830,3620,3700,3610,101,,3670,,0,502420,,0,3,SUR,-0.82,2025-04-15
TQBR,2025-04-15,ТНСэнНН ап,NNSBP,10,22860,1224,1192,1224,1200,1204,1200,19,,1198,,0,500970,,0,3,SUR,-0.33,2025-04-15
TQBR,2025-04-15,iНаукаСвяз,NSVZ,91,764910,310.5,309,315,310,311,310,2460,311,311,,764910,764910,,0,3,SUR,0.32,2025-04-15
TQBR,2025-04-15,Новатэк ао,NVTK,72836,4916198820.2,1115.6,1098,1165,1133.2,1128,1159,4357353,1120.2,1120.2,,3162845571.4,3162845571.4,,0,3,SUR,3.89,2025-04-15
TQBR,2025-04-15,ОГК-2 ао,OGKB,4067,18145512.2,0.3452,0.3353,0.3474,0.336,0.3405,0.3391,53292000,0.3406,0.3406,,15528333.3,15528333.3,,0,3,SUR,-1.77,2025-04-15
TQBR,2025-04-15,OKEY-гдр,OKEY,162,350571.7,30.7,30.39,31.08,30.53,30.67,30.53,11430,,30.61,,0,531642,,0,3,SUR,0.1,2025-04-15
TQBR,2025-04-15,ОМЗ-ап,OMZZP,12,174540,11860,11420,11860,11560,11640,11560,15,,11880,,0,522700,,0,3,SUR,-2.53,2025-04-15
TQBR,2025-04-15,OZON-адр,OZON,3817,308368880,3492.5,3472.5,3545.5,3493,3505,3524.5,87956,3504,3504,,266738124,266738124,,0,3,SUR,1.45,2025-04-15
TQBR,2025-04-15,iОзонФарм,OZPH,3251,33545664.8,50.72,50.72,51.61,51.03,51.19,51.2,655270,51.16,51.16,,22114999.8,22114999.8,,0,3,SUR,0.99,2025-04-15
TQBR,2025-04-15,ПавлАвт ао,PAZA,52,819020,11600,11300,11600,11300,11380,11300,72,11380,11380,,819020,819020,,0,3,SUR,-2.25,2025-04-15
TQBR,2025-04-15,ФосАгро ао,PHOR,6873,248013508,6082,6046,6129,6070,6096,6125,40687,6095,6095,,150000525,150000525,,0,3,SUR,0.59,2025-04-15
TQBR,2025-04-15,ПИК ао,PIKK,95763,3395160577.2,423,411.5,429.6,418,420.3,423.5,8078054,419.7,419.7,,2549869916.2,2549869916.2,,0,3,SUR,-0.14,2025-04-15
TQBR,2025-04-15,Полюс,PLZL,22259,932261851.2,1905.4,1883.4,1914.6,1886,1898,1898,491056,1899,1899,,652580259.6,652580259.6,,0,3,SUR,0.01,2025-04-15
TQBR,2025-04-15,ПермьЭнСб,PMSB,212,1909016,252.6,251.4,255,252.2,253.5,252.2,7530,253.5,253.5,,1909016,1909016,,0,3,SUR,-0.12,2025-04-15
TQBR,2025-04-15,ПермьЭнС-п,PMSBP,86,466396,263.2,262.6,270,266,266.6,266,1750,,266.2,,0,518956,,0,3,SUR,1.22,2025-04-15
TQBR,2025-04-15,iПозитив,POSI,10428,262862378.6,1320,1292,1332.8,1308,1311.6,1304.4,200401,1311,1311,,188070790.6,188070790.6,,0,3,SUR,-0.87,2025-04-15
TQBR,2025-04-15,ЧЗПСН ао,PRFN,243,1400917.8,4.098,4.098,4.28,4.212,4.204,4.212,333200,4.204,4.204,,1400917.8,1400917.8,,0,3,SUR,2.33,2025-04-15
